biogas_mass,h2_production
41.8918919,2.26360651
41.9169169,2.2649675
41.9419419,2.2663285
41.966967,2.26768948
41.991992,2.26905046
42.017017,2.27041144
42.042042,2.27177241
42.0670671,2.27313337
42.0920921,2.27449433
42.1171171,2.27585528
42.1421421,2.27721623
42.1671672,2.27857718
42.1921922,2.27993812
42.2172172,2.28129905
42.2422422,2.28265998
42.2672673,2.2840209
42.2922923,2.28538182
42.3173173,2.28674273
42.3423423,2.28810363
42.3673674,2.28946454
42.3923924,2.29082543
42.4174174,2.29218632
42.4424424,2.29354721
42.4674675,2.29490809
42.4924925,2.29626897
42.5175175,2.29762984
42.5425425,2.2989907
42.5675676,2.30035156
42.5925926,2.30171242
42.6176176,2.30307327
42.6426426,2.30443411
42.6676677,2.30579495
42.6926927,2.30715578
42.7177177,2.30851661
42.7427427,2.30987744
42.7677678,2.31123826
42.7927928,2.31259907
42.8178178,2.31395988
42.8428428,2.31532068
42.8678679,2.31668148
42.8928929,2.31804227
42.9179179,2.31940306
42.9429429,2.32076384
42.967968,2.32212462
42.992993,2.32348539
43.018018,2.32484616
43.043043,2.32620692
43.0680681,2.32756768
43.0930931,2.32892843
43.1181181,2.33028918
43.1431431,2.33164992
43.1681682,2.33301066
43.1931932,2.33437139
43.2182182,2.33573212
43.2432432,2.33709284
43.2682683,2.33845356
43.2932933,2.33981427
43.3183183,2.34117498
43.3433433,2.34253568
43.3683684,2.34389638
43.3933934,2.34525707
43.4184184,2.34661776
43.4434434,2.34797844
43.4684685,2.34933911
43.4934935,2.35069979
43.5185185,2.35206045
43.5435435,2.35342111
43.5685686,2.35478177
43.5935936,2.35614242
43.6186186,2.35750307
43.6436436,2.35886371
43.6686687,2.36022435
43.6936937,2.36158498
43.7187187,2.36294561
43.7437437,2.36430623
43.7687688,2.36566685
43.7937938,2.36702746
43.8188188,2.36838807
43.8438438,2.36974867
43.8688689,2.37110927
43.8938939,2.37246986
43.9189189,2.37383045
43.9439439,2.37519103
43.968969,2.37655161
43.993994,2.37791218
44.019019,2.37927275
44.044044,2.38063331
44.0690691,2.38199387
44.0940941,2.38335443
44.1191191,2.38471497
44.1441441,2.38607552
44.1691692,2.38743606
44.1941942,2.38879659
44.2192192,2.39015712
44.2442442,2.39151765
44.2692693,2.39287816
44.2942943,2.39423868
44.3193193,2.39559919
44.3443443,2.39695969
44.3693694,2.39832019
44.3943944,2.39968069
44.4194194,2.40104118
44.4444444,2.40240167
44.4694695,2.40376215
44.4944945,2.40512262
44.5195195,2.40648309
44.5445445,2.40784356
44.5695696,2.40920402
44.5945946,2.41056448
44.6196196,2.41192493
44.6446446,2.41328538
44.6696697,2.41464582
44.6946947,2.41600626
44.7197197,2.41736669
44.7447447,2.41872712
44.7697698,2.42008755
44.7947948,2.42144797
44.8198198,2.42280838
44.8448448,2.42416879
44.8698699,2.42552919
44.8948949,2.42688959
44.9199199,2.42824999
44.9449449,2.42961038
44.96997,2.43097077
44.994995,2.43233115
45.02002,2.43369152
45.045045,2.4350519
45.0700701,2.43641226
45.0950951,2.43777262
45.1201201,2.43913298
45.1451451,2.44049334
45.1701702,2.44185368
45.1951952,2.44321403
45.2202202,2.44457437
45.2452452,2.4459347
45.2702703,2.44729503
45.2952953,2.44865536
45.3203203,2.45001568
45.3453453,2.45137599
45.3703704,2.4527363
45.3953954,2.45409661
45.4204204,2.45545691
45.4454454,2.45681721
45.4704705,2.4581775
45.4954955,2.45953779
45.5205205,2.46089807
45.5455455,2.46225835
45.5705706,2.46361863
45.5955956,2.4649789
45.6206206,2.46633916
45.6456456,2.46769942
45.6706707,2.46905968
45.6956957,2.47041993
45.7207207,2.47178018
45.7457457,2.47314042
45.7707708,2.47450066
45.7957958,2.47586089
45.8208208,2.47722112
45.8458458,2.47858134
45.8708709,2.47994156
45.8958959,2.48130178
45.9209209,2.48266199
45.9459459,2.48402219
45.970971,2.48538239
45.995996,2.48674259
46.021021,2.48810278
46.046046,2.48946297
46.0710711,2.49082315
46.0960961,2.49218333
46.1211211,2.49354351
46.1461461,2.49490367
46.1711712,2.49626384
46.1961962,2.497624
46.2212212,2.49898416
46.2462462,2.50034431
46.2712713,2.50170446
46.2962963,2.5030646
46.3213213,2.50442474
46.3463463,2.50578487
46.3713714,2.507145
46.3963964,2.50850512
46.4214214,2.50986525
46.4464464,2.51122536
46.4714715,2.51258547
46.4964965,2.51394558
46.5215215,2.51530568
46.5465465,2.51666578
46.5715716,2.51802587
46.5965966,2.51938596
46.6216216,2.52074605
46.6466466,2.52210613
46.6716717,2.52346621
46.6966967,2.52482628
46.7217217,2.52618634
46.7467467,2.52754641
46.7717718,2.52890647
46.7967968,2.53026652
46.8218218,2.53162657
46.8468468,2.53298662
46.8718719,2.53434666
46.8968969,2.53570669
46.9219219,2.53706673
46.9469469,2.53842675
46.971972,2.53978678
46.996997,2.5411468
47.022022,2.54250681
47.047047,2.54386682
47.0720721,2.54522683
47.0970971,2.54658683
47.1221221,2.54794683
47.1471471,2.54930682
47.1721722,2.55066681
47.1971972,2.55202679
47.2222222,2.55338677
47.2472472,2.55474675
47.2722723,2.55610672
47.2972973,2.55746669
47.3223223,2.55882665
47.3473473,2.56018661
47.3723724,2.56154656
47.3973974,2.56290651
47.4224224,2.56426646
47.4474474,2.5656264
47.4724725,2.56698634
47.4974975,2.56834627
47.5225225,2.5697062
47.5475475,2.57106612
47.5725726,2.57242604
47.5975976,2.57378596
47.6226226,2.57514587
47.6476476,2.57650578
47.6726727,2.57786568
47.6976977,2.57922558
47.7227227,2.58058548
47.7477477,2.58194537
47.7727728,2.58330525
47.7977978,2.58466513
47.8228228,2.58602501
47.8478478,2.58738489
47.8728729,2.58874476
47.8978979,2.59010462
47.9229229,2.59146448
47.9479479,2.59282434
47.972973,2.59418419
47.997998,2.59554404
48.023023,2.59690388
48.048048,2.59826372
48.0730731,2.59962356
48.0980981,2.60098339
48.1231231,2.60234322
48.1481481,2.60370304
48.1731732,2.60506286
48.1981982,2.60642267
48.2232232,2.60778249
48.2482482,2.60914229
48.2732733,2.61050209
48.2982983,2.61186189
48.3233233,2.61322169
48.3483483,2.61458148
48.3733734,2.61594126
48.3983984,2.61730104
48.4234234,2.61866082
48.4484484,2.62002059
48.4734735,2.62138036
48.4984985,2.62274013
48.5235235,2.62409989
48.5485485,2.62545965
48.5735736,2.6268194
48.5985986,2.62817915
48.6236236,2.62953889
48.6486486,2.63089863
48.6736737,2.63225837
48.6986987,2.6336181
48.7237237,2.63497783
48.7487487,2.63633756
48.7737738,2.63769728
48.7987988,2.63905699
48.8238238,2.6404167
48.8488488,2.64177641
48.8738739,2.64313612
48.8988989,2.64449582
48.9239239,2.64585551
48.9489489,2.6472152
48.973974,2.64857489
48.998999,2.64993457
49.024024,2.65129425
49.049049,2.65265393
49.0740741,2.6540136
49.0990991,2.65537327
49.1241241,2.65673293
49.1491491,2.65809259
49.1741742,2.65945225
49.1991992,2.6608119
49.2242242,2.66217155
49.2492492,2.66353119
49.2742743,2.66489083
49.2992993,2.66625046
49.3243243,2.6676101
49.3493493,2.66896972
49.3743744,2.67032935
49.3993994,2.67168897
49.4244244,2.67304858
49.4494494,2.67440819
49.4744745,2.6757678
49.4994995,2.6771274
49.5245245,2.678487
49.5495495,2.6798466
49.5745746,2.68120619
49.5995996,2.68256578
49.6246246,2.68392536
49.6496496,2.68528494
49.6746747,2.68664452
49.6996997,2.68800409
49.7247247,2.68936366
49.7497497,2.69072322
49.7747748,2.69208278
49.7997998,2.69344234
49.8248248,2.69480189
49.8498498,2.69616144
49.8748749,2.69752098
49.8998999,2.69888053
49.9249249,2.70024006
49.9499499,2.70159959
49.974975,2.70295912
50,2.70431865
